"manufacturer","color","material","additional","name","glide","stability","speed","weight","image","type","missing","missing_description","sold","broken","Hole in one","HIO date","fade","collection_item","sold_at","Own stamp","Donated","Donation description","price","price_status","sold_for","HIO description","_id","_created","_createdby","_changed","_changedby"
"Innova","oranssi","Champion","","Wraith","5","-1","11","175","","Distance driver","","","","","","","3","","","","","","16.9","","","","56d89c71011d315d000009f9","2016-03-03T20:20:01.862Z","janimatti.ellonen@gmail.com","2019-04-12T12:25:02.875Z","janimatti.ellonen@gmail.com"
"Discraft","Punainen","ESP","","Meteor","5","-3","4","177","56d9dc42011d315d00004c2e","Mid-range","false","","","","","","1","","","","","","15.9","","","","56d89c71011d315d00000a20","2016-03-03T20:20:01.921Z","janimatti.ellonen@gmail.com","2019-04-13T19:17:51.240Z","janimatti.ellonen@gmail.com"
"Discmania","Oranssi","C-LINE","","CD2","5","-1","9","177","579b850b19d1284d00000000","Distance driver","false","","","","","","2","","","","","","16.9","","","","579b864219d1284d0000000b","2016-07-29T16:37:22.866Z","janimatti.ellonen@gmail.com","2019-04-14T10:55:39.600Z","janimatti.ellonen@gmail.com"
"Prodiscus","Valkoinen","Basic","","MIDARi","4","-1","5","0","56d89cc9011d315d00000a39","Mid-range","","","","","","","2","","","","","","25","","","","56d9de1b011d315d00004c39","2016-03-04T19:12:27.437Z","janimatti.ellonen@gmail.com","2019-04-13T19:18:24.518Z","janimatti.ellonen@gmail.com"
"Innova","Sininen","D-Line","","P1X","3","0","2","175","58bc0a5f4552c80e00000012","Putter","false","","false","true","false","","0.0","false","","","","","10.9","","","","58bc0b3c4552c80e00000023","2017-03-05T12:57:32.287Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:41.438Z","janimatti.ellonen@gmail.com"
"Innova","lila, läpikuultava","Champion","","TL","5","0","7","175","56d9dc3d011d315d00004c28","Fairway driver","","","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a16","2016-03-03T20:20:01.907Z","janimatti.ellonen@gmail.com","2019-04-12T12:27:22.952Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","KC Pro","","Aviar","3","0","2","171","","Putter","true","","","","","","2","","","","","","13.9","","","","56d89c71011d315d00000a2a","2016-03-03T20:20:01.931Z","janimatti.ellonen@gmail.com","2019-04-13T19:20:25.031Z","janimatti.ellonen@gmail.com"
"Innova","Keltainen, DGS-brändätty","","","Roc","4","0","4","180","56eeedf232976c35000001e4","Mid-range","false","","","","","","2","true","","","","","20","","","","56eeee7732976c35000001e5","2016-03-20T18:39:51.819Z","janimatti.ellonen@gmail.com","2019-04-13T18:55:29.729Z","janimatti.ellonen@gmail.com"
"Innova","Pink","Star","","Mako3","5","0","5","176","5d0fd76cf50ddf43000000fa","Mid-range","false","","false","false","false","","0.0","false","","false","false","","17.9","","","","5d0fd7abf50ddf4300000100","2019-06-23T19:48:59.832Z","janimatti.ellonen@gmail.com","2019-06-23T19:48:59.832Z","janimatti.ellonen@gmail.com"
"Lightning","valkoinen","","","MX1","5","-5","9","0","","Distance driver","","","","","","","1","","","","","","","price_unknown","","","56d89c71011d315d00000a06","2016-03-03T20:20:01.889Z","janimatti.ellonen@gmail.com","2019-04-14T11:31:50.351Z","janimatti.ellonen@gmail.com"
"Innova","punainen","Star","","TL","5","0","7","170","56d9dc48011d315d00004c36","Fairway driver","","","true","","","","1","","27.11.2017","","","","17.9","","","","56d89c71011d315d00000a15","2016-03-03T20:20:01.906Z","janimatti.ellonen@gmail.com","2019-04-12T12:27:03.721Z","janimatti.ellonen@gmail.com"
"Discmania","keltainen","D-line","","P1 Maniac","3","0","2","172","56e1ccb8269db372000005b6","Putter","false","","false","","","","0.0","","","","true","","10.9","","","","56d89c71011d315d00000a30","2016-03-03T20:20:01.938Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:53.572Z","janimatti.ellonen@gmail.com"
"Westside discs","keltainen","Tournament","","tuonelan lautturi","5","0","11","169","","Distance driver","true","Katosi Mäntsälässä 26.7.2014. Löytyi, mutta sanoin soittajalle että saa pitää jos haluaa.","","","","","2","","","","","","17.9","","","","56d89c71011d315d00000a00","2016-03-03T20:20:01.869Z","janimatti.ellonen@gmail.com","2019-04-13T19:23:36.558Z","janimatti.ellonen@gmail.com"
"Discraft","Oranssi, läpikuultava","Z line","","Buzzz OS","4","0","5","0","56e1ccaf269db372000005ac","Mid-range","false","","","","","","3","","","","","","16.9","","","","56d89c71011d315d00000a1f","2016-03-03T20:20:01.920Z","janimatti.ellonen@gmail.com","2019-04-14T10:59:21.924Z","janimatti.ellonen@gmail.com"
"Discraft","punainen-lila-vihreä","Elite Z","","Buzzz SS","4","-2","5","177","56d9dc3a011d315d00004c25","Mid-range","","","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a1d","2016-03-03T20:20:01.918Z","janimatti.ellonen@gmail.com","2019-04-12T12:44:28.567Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","Pro","","Katana","5","-3","13","175","","Distance driver","true","Kadonnut Skogbyn radalla 15.7.2015","","","","","3","","","","","","13.9","","","","56d89c71011d315d000009f7","2016-03-03T20:20:01.860Z","janimatti.ellonen@gmail.com","2019-04-13T19:07:19.841Z","janimatti.ellonen@gmail.com"
"Innova","lila","Star","","Daedalus","6","-3","13","171","56d9dc46011d315d00004c33","Distance driver","","","true","","","","2","","27.11.2017","","","","17.9","","","","56d89c71011d315d000009fc","2016-03-03T20:20:01.865Z","janimatti.ellonen@gmail.com","2019-04-13T18:52:36.485Z","janimatti.ellonen@gmail.com"
"Discmania","valkoinen","D-line","","P2 Pro putter","3","0","2","170","56e1ccbb269db372000005ba","Putter","false","","","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a2f","2016-03-03T20:20:01.936Z","janimatti.ellonen@gmail.com","2019-04-12T12:29:48.581Z","janimatti.ellonen@gmail.com"
"Innova","keltainen","KC Pro","","aviar","3","0","2","172","56e1ccae269db372000005ab","Putter","false","","true","","","","1","","","","","","13.9","","","","56d89c71011d315d00000a2b","2016-03-03T20:20:01.933Z","janimatti.ellonen@gmail.com","2019-04-13T19:20:20.632Z","janimatti.ellonen@gmail.com"
"Innova","Sinnen","Star","","Roc3","4","0","5","176","57a9de1e7911e5750000045c","Mid-range","false","","","","","","3","","","","","","17.9","","","","57a9de507911e5750000045e","2016-08-09T13:44:48.947Z","janimatti.ellonen@gmail.com","2019-04-12T12:40:22.833Z","janimatti.ellonen@gmail.com"
"Prodigy","cyan","750","","FS 750","5","-1","8","175","56d9dc39011d315d00004c24","Fairway driver","","","","","","","2","","","","","","17.9","","","","56d89c71011d315d00000a11","2016-03-03T20:20:01.902Z","janimatti.ellonen@gmail.com","2019-04-14T10:54:24.696Z","janimatti.ellonen@gmail.com"
"Innova","sininen","","","Shark","4","0","4","173","56eda460bdfc9f6400001400","Mid-range","false","Myyty","true","","","","2","","","","","","10.9","","","","56d89c71011d315d00000a22","2016-03-03T20:20:01.923Z","janimatti.ellonen@gmail.com","2019-04-13T19:25:15.047Z","janimatti.ellonen@gmail.com"
"Westside discs","vihreä","","DGS stamp","Pohjolan isäntä","5","-1","14","174","56eda45bbdfc9f64000013fa","Distance driver","false","","","","","","4","","","","","","","gift","","","56d89c71011d315d00000a03","2016-03-03T20:20:01.882Z","janimatti.ellonen@gmail.com","2019-04-14T11:32:12.894Z","janimatti.ellonen@gmail.com"
"Prodiscus","Valkoinen","Basic","","MIDARi","4","-1","5","0","56e1ccb4269db372000005b2","Mid-range","false","","","","","","2","","","","","","25","","","","56e1d34d269db372000007a6","2016-03-10T20:04:29.408Z","janimatti.ellonen@gmail.com","2019-04-13T19:18:27.931Z","janimatti.ellonen@gmail.com"
"Innova","lila","Star","","Mamba","6","-5","11","175","","Distance driver","true","Kadonnut Oittaalla 2. väylällä 1.7.2015","","","","","1","","","","","","17.9","","","","56d89c71011d315d000009fe","2016-03-03T20:20:01.867Z","janimatti.ellonen@gmail.com","2019-04-13T18:52:01.956Z","janimatti.ellonen@gmail.com"
"Discmania","punainen","","","FD Jackal","6","-1","7","142","","Fairway driver","","","","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a12","2016-03-03T20:20:01.903Z","janimatti.ellonen@gmail.com","2019-04-14T10:53:27.223Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","Star","","Sidewinder","5","-3","9","175","56e1ccc1269db372000005c1","Distance driver","true","Kadotettu Oittaalla joskus kesällä 2016.","false","false","false","","1","false","","","","","17.9","","","","56d89c71011d315d00000a05","2016-03-03T20:20:01.884Z","janimatti.ellonen@gmail.com","2019-04-12T12:39:26.761Z","janimatti.ellonen@gmail.com"
"MVP","keltainen, mustat reunat","","","Shock","5","0","8","171","56d9dc44011d315d00004c31","Fairway driver","false","","true","false","false","","3","false","","","","","17.9","","","","56d89c71011d315d00000a0f","2016-03-03T20:20:01.898Z","janimatti.ellonen@gmail.com","2019-04-13T19:08:04.767Z","janimatti.ellonen@gmail.com"
"Innova","Blue, red","Star","XXL Stamp","ROC3","4","0","5","180","5c4c4ac33ef5112f000064ea","Mid-range","false","","false","false","false","","3","false","","false","","","19.9","","","","5c4c4b5e3ef5112f000064f4","2019-01-26T11:58:22.969Z","janimatti.ellonen@gmail.com","2019-04-12T12:40:05.941Z","janimatti.ellonen@gmail.com"
"Discraft","Sininen","ESP","","Meteor","5","-3","4","176","575bfc83376c9f6f00000005","Mid-range","false","","","","","","1","","","","","","15.9","","","","575bfd55376c9f6f0000000a","2016-06-11T12:00:21.296Z","janimatti.ellonen@gmail.com","2019-04-13T19:17:55.223Z","janimatti.ellonen@gmail.com"
"Discmania","keltainen","D-line","","P2 Pro putter","3","0","2","175","","Putter","","","","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a33","2016-03-03T20:20:01.942Z","janimatti.ellonen@gmail.com","2019-04-12T12:30:18.900Z","janimatti.ellonen@gmail.com"
"Discmania","Oranssi","D-Line","","FD","6","-1","7","0","579b850d19d1284d00000002","Fairway driver","false","","true","","","","1","","","","","","10.9","","","","579b85df19d1284d00000009","2016-07-29T16:35:43.407Z","janimatti.ellonen@gmail.com","2019-04-13T18:59:22.548Z","janimatti.ellonen@gmail.com"
"Prodigy","musta","350G","","PA3","2","-1","2","173","56e1ccbd269db372000005bc","Putter","","","","","","","1","","","","","","15","","","","56d89c71011d315d00000a38","2016-03-03T20:20:01.951Z","janimatti.ellonen@gmail.com","2019-04-12T12:47:02.409Z","janimatti.ellonen@gmail.com"
"Discmania","sininen, hieman vaalea","s-line","","DD2","5","-2","13","171","56e1ccb1269db372000005ae","Distance driver","false","","","","","","2","","","","","","17.9","","","","56d89c71011d315d00000a0b","2016-03-03T20:20:01.894Z","janimatti.ellonen@gmail.com","2019-04-13T19:12:36.946Z","janimatti.ellonen@gmail.com"
"Discmania","lila","D-line","","P1 Maniac","3","0","2","170","56d9dc40011d315d00004c2c","Putter","false","","false","","","","0.0","","","","true","","10.9","","","","56d89c71011d315d00000a2e","2016-03-03T20:20:01.935Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:55.634Z","janimatti.ellonen@gmail.com"
"Discraft","oranssi-keltainen-lila","Elite Z","","Buzzz SS","4","-2","5","177","","Mid-range","true","Kadonnut Veikkolassa 6.4.2015","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a1c","2016-03-03T20:20:01.913Z","janimatti.ellonen@gmail.com","2019-04-13T19:16:33.650Z","janimatti.ellonen@gmail.com"
"Discmania","keltainen","D-line","","P2 Pro putter","3","0","2","175","","Putter","","","","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a32","2016-03-03T20:20:01.940Z","janimatti.ellonen@gmail.com","2019-04-12T12:30:16.704Z","janimatti.ellonen@gmail.com"
"Prodiscus","Valkoinen","Basic","Fraktio stamp","JOKERi","3","0","4","0","56d9dc3d011d315d00004c29","Putter","","","","","","","2","","","","","","25","","","","56d9deeb011d315d00004c3c","2016-03-04T19:15:55.687Z","janimatti.ellonen@gmail.com","2019-07-29T12:49:26.176Z","janimatti.ellonen@gmail.com"
"Innova","Punainen","DX","","Dragon","5","-2","9","0","579b850c19d1284d00000001","Distance driver","false","","true","","","","2","","","","","","10.9","","","","579b860e19d1284d0000000a","2016-07-29T16:36:30.250Z","janimatti.ellonen@gmail.com","2019-04-14T10:55:25.353Z","janimatti.ellonen@gmail.com"
"Discmania","oranssi","D-line","","P2 Pro putter","3","0","2","175","56d9dc42011d315d00004c2f","Putter","","","","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a34","2016-03-03T20:20:01.947Z","janimatti.ellonen@gmail.com","2019-04-12T12:30:13.395Z","janimatti.ellonen@gmail.com"
"Innova","Oranssi","Star","","Roadrunner","5","-4","9","175","56e1ccbf269db372000005be","Distance driver","false","","true","","","","1","","","","","","17.9","","","","56e1ceee269db372000007a4","2016-03-10T19:45:50.281Z","janimatti.ellonen@gmail.com","2019-04-13T19:11:50.853Z","janimatti.ellonen@gmail.com"
"Discmania","sininen","D-line","","P1x Beaded Putter","3","0","2","175","56d9dc43011d315d00004c30","Putter","","","","true","","","0.0","","","","","","10.9","","","","56d89c71011d315d00000a36","2016-03-03T20:20:01.949Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:58.003Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","Pro","","Katana","5","-3","13","175","56e1ccb3269db372000005b1","Distance driver","","","true","","","","3","","","","","","13.9","","","","56d89c71011d315d000009f6","2016-03-03T20:20:01.859Z","janimatti.ellonen@gmail.com","2019-04-13T19:06:43.740Z","janimatti.ellonen@gmail.com"
"Discraft","valkoinen","Esp","","Buzzz FLX","4","-1","5","0","56eda457bdfc9f64000013f5","Mid-range","true","","","","","","1","","","","","","16.9","","","","56d89c71011d315d00000a19","2016-03-03T20:20:01.910Z","janimatti.ellonen@gmail.com","2019-04-15T15:55:07.035Z","janimatti.ellonen@gmail.com"
"Innova","Sininen","Star","","Roc3","4","0","5","175","575bfc85376c9f6f00000008","Mid-range","false","","","","","","3","","","","","","17.9","","","","575bfdd3376c9f6f0000000c","2016-06-11T12:02:27.146Z","janimatti.ellonen@gmail.com","2019-04-12T12:40:41.319Z","janimatti.ellonen@gmail.com"
"Prodiscus","Valkoinen","Basic","","MIDARi","4","-1","5","0","56d9dc3f011d315d00004c2b","Mid-range","","","","","","","2","","","","","","25","","","","56d9ddd7011d315d00004c38","2016-03-04T19:11:19.002Z","janimatti.ellonen@gmail.com","2019-04-13T19:18:30.528Z","janimatti.ellonen@gmail.com"
"Latitude 64","naisen kuva","","","Mace","5","0","5","176","56eda45abdfc9f64000013f9","Mid-range","false","","true","","","","2","","","","","","16.9","","","","56d89c71011d315d00000a26","2016-03-03T20:20:01.928Z","janimatti.ellonen@gmail.com","2019-04-14T10:54:48.791Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","","","Roc","4","0","4","175","56e1ccc0269db372000005bf","Mid-range","","","","","","","3","","","","","","","gift","","","56d89c71011d315d00000a25","2016-03-03T20:20:01.927Z","janimatti.ellonen@gmail.com","2019-04-14T11:32:40.648Z","janimatti.ellonen@gmail.com"
"Innova","keltainen","DX","","Archangel","6","-4","8","175","56eda454bdfc9f64000013f1","Distance driver","false","Myyty","true","","","","1","","","","","","10.9","","","","56d89c71011d315d00000a09","2016-03-03T20:20:01.892Z","janimatti.ellonen@gmail.com","2019-04-13T19:08:38.642Z","janimatti.ellonen@gmail.com"
"Discmania","vaalean sininen","s-line","","TD Rush","5","-2","10","0","56e1ccc4269db372000005c4","Distance driver","false","Järvasta ostettu nimikkokiekko","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a0c","2016-03-03T20:20:01.895Z","janimatti.ellonen@gmail.com","2019-04-14T10:50:34.270Z","janimatti.ellonen@gmail.com"
"Innova","punertava, läpikuultava","Champion","","Monster","3","0","10","171","56d9dc3c011d315d00004c27","Distance driver","","","true","","","","5","","","","","","16.9","","","","56d89c71011d315d00000a0a","2016-03-03T20:20:01.893Z","janimatti.ellonen@gmail.com","2019-04-13T19:07:44.529Z","janimatti.ellonen@gmail.com"
"Innova","valkoinen","Pro","","Katana","5","-3","13","166","","Distance driver","true","Kadonnut Oittaalla harjoitusrangen oikeanpuoleisen aidan kohdalla 1.7.2015","","","","","3","","","","","","13.9","","","","56d89c71011d315d000009f5","2016-03-03T20:20:01.858Z","janimatti.ellonen@gmail.com","2019-04-13T19:07:18.129Z","janimatti.ellonen@gmail.com"
"Innova","tumman keltainen","Star","","Mamba","6","-5","11","175","","Distance driver","true","Kadonnut Talissa 2015","","","","","1","","","","","","17.9","","","","56d89c71011d315d000009fd","2016-03-03T20:20:01.866Z","janimatti.ellonen@gmail.com","2019-04-13T18:52:05.326Z","janimatti.ellonen@gmail.com"
"Discraft","Punaine-vihreä, läpikuultava","Elite Z","","Buzzz SS","4","-2","5","177","56d9dc3b011d315d00004c26","Mid-range","","","","","","","1","","","","","","17.9","","","","56d89c71011d315d00000a1e","2016-03-03T20:20:01.919Z","janimatti.ellonen@gmail.com","2019-04-12T12:44:37.900Z","janimatti.ellonen@gmail.com"
"Latitude 64","Blue","Zero Line Megasoft","","Pure","3","0","3","174","57152b2889c9be20000003c8","Putter","false","","true","","","","1","","","","","","11.9","","","","57152a7a89c9be20000003c7","2016-04-18T18:42:02.386Z","janimatti.ellonen@gmail.com","2019-04-14T11:02:17.816Z","janimatti.ellonen@gmail.com"
"Huk lab","Sininen","","","Huklab","3","0","2","0","56d9dc3e011d315d00004c2a","Putter","false","","","","","","1","","","","","","","price_unknown","","","56d9dfa0011d315d00004c3d","2016-03-04T19:18:56.918Z","janimatti.ellonen@gmail.com","2019-04-14T11:32:53.633Z","janimatti.ellonen@gmail.com"
"Innova","Liila","Star","","Destroyer","5","-1","12","150","57ad3f01284a1e34000001f1","Distance driver","false","","","","","","3","","","","","","17.9","","","","57ad3f29284a1e34000001f2","2016-08-12T03:14:49.332Z","janimatti.ellonen@gmail.com","2019-04-12T12:35:32.497Z","janimatti.ellonen@gmail.com"
"Discmania","keltainen","D-line","","P1 Maniac","3","0","2","175","56d9dc41011d315d00004c2d","Putter","false","","false","","","","0.0","","","","true","Given away","10.9","","","","56d89c71011d315d00000a2c","2016-03-03T20:20:01.934Z","janimatti.ellonen@gmail.com","2019-04-12T12:28:49.600Z","janimatti.ellonen@gmail.com"
"Westside discs","oranssi","","","pursi","5","0","6","176","56eda45cbdfc9f64000013fc","Approach","false","","","","","","1","","","","","","16.9","","","","56d89c71011d315d000009f0","2016-03-03T20:20:01.853Z","janimatti.ellonen@gmail.com","2019-04-12T12:45:32.512Z","janimatti.ellonen@gmail.com"
"Innova","oranssi","Champion","","Champion Vulcan","5","-3","13","172","","Distance driver","","","","","","","2","","","","","","16.9","","","","56d89c71011d315d000009f3","2016-03-03T20:20:01.856Z","janimatti.ellonen@gmail.com","2019-04-13T18:57:51.815Z","janimatti.ellonen@gmail.com"
"Discraft","oranssi","Pro D","","Buzzz","4","-1","5","174","56eda458bdfc9f64000013f6","Mid-range","true","","","","","","1","","","","","","9.9","","","","56d89c71011d315d00000a1a","2016-03-03T20:20:01.911Z","janimatti.ellonen@gmail.com","2019-04-15T15:55:09.584Z","janimatti.ellonen@gmail.com"
